Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,key_resp_3.rt,key_resp_5.rt,key_resp_4.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.16396608,0.0,Stimuli/H-8sim1.png,Stimuli/H-8sim3.png,None,None,None,j,1,0.15369009494315833,None,181.10761147609446,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16396608,1.0,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,None,None,None,j,0,0.3895793539704755,None,181.9910345200915,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16396608,0.0,Stimuli/H-8sim0.png,Stimuli/H-8sim1.png,None,None,None,j,1,0.34187122201547027,None,183.1075456610415,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.16396608,0.0,Stimuli/H-8sim3.png,Stimuli/H-8sim1.png,None,None,None,j,1,0.26961991703137755,None,184.1741076600738,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.16396608,1.0,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,None,None,None,j,0,0.21940599801018834,None,185.17407975299284,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.16396608,0.0,Stimuli/H-8sim3.png,Stimuli/H-8sim2.png,None,None,None,j,1,1.1994796459330246,None,186.14093215507455,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.16396608,1.0,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,None,None,None,j,0,1.2566619089338928,None,188.07434656610712,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16396608,0.0,Stimuli/H-8sim2.png,Stimuli/H-8sim0.png,None,None,None,j,1,0.09084374399390072,None,190.07436711003538,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.16396608,1.0,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,None,None,None,j,0,0.19198469805996865,None,190.8910569930449,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.16396608,1.0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,None,None,None,j,0,0.25280657690018415,None,191.80775477702264,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
