Block_type,instruction_text,repPracLoop.thisRepN,repPracLoop.thisTrialN,repPracLoop.thisN,repPracLoop.thisIndex,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,ITI_fix_cross.started,ITI_fix_cross.stopped,fix_resp.keys,fix_resp.corr,fix_resp.started,fix_resp.stopped,fix_resp.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,1.0,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,f,1,0.3050001619994873,343.03126012599387,None,space,1,343.03126012599387,None,0.46925771499809343,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/eomu.png,Stimuli/edmd.png,conf_face,j,1,0.30310223199194297,345.5479188409954,None,None,1,345.5479188409954,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,f,1,0.2665255920001073,347.7980719089974,None,None,1,347.7980719089974,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,0.0,Stimuli/eumu.png,Stimuli/edmd.png,conf_face,j,1,0.33813604999158997,350.31476575099805,None,space,1,350.31476575099805,None,0.45217263299855404,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/edmd.png,Stimuli/edmd.png,conf_face,f,1,0.18281015500542708,352.53147336099937,None,None,1,352.53147336099937,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/edmd.png,Stimuli/eimd.png,conf_face,j,1,0.19647678900219034,354.83121930800553,None,None,1,354.83121930800553,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,1.0,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,j,0,0.6667906749935355,357.6480072139966,None,space,1,357.6480072139966,None,0.3784424920013407,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,j,0,0.6229406990023563,360.5312988549995,None,None,1,360.5312988549995,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/eimd.png,Stimuli/eumu.png,conf_face,j,1,0.5329283449973445,363.38153307100583,None,None,1,363.38153307100583,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/edmd.png,Stimuli/eimd.png,conf_face,f,0,0.5638552449963754,366.2813635250059,None,None,1,366.2813635250059,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,f,1,0.6479447600140702,369.2981533419952,None,None,1,369.2981533419952,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
